ID,ReferenceNumber,Museum,NameOfTheObject,PlaceOfOriginationMuseum,PlaceOfOrigination,Medium,Dimension,MuseumObjectType,TextType,CuratorialText_x,WordCountCuratorialText,URL,YearOfTheArtwork,NameCurator,NameOfTheArtist,Language,CuratorialText_y,persona1_adapted,persona2_adapted,persona3_adapted
CT0105,,National Museum of Asian Art,,The United States,Asia,,,,SectionText,"In the twentieth century, travel offered a key means for diplomacy and cultural exchange. Alice Roosevelt Longworth (1884–1980), Theodore Roosevelt’s daughter, embarked on a tour of Asia accompanying William Howard Taft’s goodwill mission in 1905. This voyage is immortalized in a series of photographs but also through diplomatic gifts that dignitaries, such as the emperor of Japan, bestowed on Roosevelt.",60,https://asia.si.edu/explore-art-culture/art-stories/themes/the-art-of-travel/,,,,English,"In the twentieth century, travel offered a key means for diplomacy and cultural exchange. Alice Roosevelt Longworth (1884–1980), Theodore Roosevelt’s daughter, embarked on a tour of Asia accompanying William Howard Taft’s goodwill mission in 1905. This voyage is immortalized in a series of photographs but also through diplomatic gifts that dignitaries, such as the emperor of Japan, bestowed on Roosevelt.","In the 1900s, travel was an important way for countries to build friendships and share cultures. In 1905, Alice Roosevelt Longworth (1884–1980), the daughter of President Theodore Roosevelt, joined a goodwill trip to Asia led by William Howard Taft. We know about this journey from photos and from special gifts that leaders, like the emperor of Japan, gave to Roosevelt.","In the twentieth century, travel was an important tool for diplomacy and cultural exchange. Alice Roosevelt Longworth (1884–1980), the daughter of President Theodore Roosevelt, joined a goodwill mission led by William Howard Taft in 1905. During this trip, she traveled through Asia. The journey is recorded not only in a series of photographs but also through diplomatic gifts. These gifts were given to Roosevelt by dignitaries, including the emperor of Japan.","In the twentieth century, travel became an important way for countries to build relationships and share culture. In 1905, Alice Roosevelt Longworth (1884–1980), the daughter of President Theodore Roosevelt, joined a goodwill mission led by William Howard Taft on a journey through Asia. This trip is remembered not only through a series of photographs, but also through the gifts she received from foreign leaders—such as the emperor of Japan—as a gesture of diplomacy."
CT0106,,National Museum of Asian Art,,The United States,Asia,,,,SectionText,"Adventurers, archaeologists, and scholars have long been traversing the globe to conduct research and to explore foreign lands. In the early twentieth century, leisure travel among Europeans and North Americans also became increasingly common. Fascinated by the cultural heritage of Asia and the Middle East, tourists began to expand their horizons by venturing there.",54,https://asia.si.edu/explore-art-culture/art-stories/themes/the-art-of-travel/,,,,English,"Adventurers, archaeologists, and scholars have long been traversing the globe to conduct research and to explore foreign lands. In the early twentieth century, leisure travel among Europeans and North Americans also became increasingly common. Fascinated by the cultural heritage of Asia and the Middle East, tourists began to expand their horizons by venturing there.","For a long time, adventurers, archaeologists, and scholars have traveled the world to study and explore new places. In the early 1900s, more Europeans and North Americans started traveling for fun. They were curious about the cultures of Asia and the Middle East, so they began to visit those regions.","Adventurers, archaeologists, and scholars have long traveled across the world to conduct research and explore foreign lands. In the early twentieth century, leisure travel also became more common among Europeans and North Americans. Fascinated by the cultural heritage of Asia and the Middle East, tourists began to broaden their horizons by traveling there.","Adventurers, archaeologists, and scholars have long traveled the world to conduct research and explore unfamiliar places. By the early twentieth century, leisure travel had also become more common among Europeans and North Americans. Drawn to the cultural heritage of Asia and the Middle East, tourists began to broaden their horizons by visiting these regions."
CT0107,,National Museum of Asian Art,,The United States,Asia,,,,SectionText,Artists who traveled played a pivotal role in documenting and popularizing their visions of the distant places they visited. Their interactions with other artists and the things they experienced on their journeys contributed to the dispersal of different artistic styles and motifs.,42,https://asia.si.edu/explore-art-culture/art-stories/themes/the-art-of-travel/,,,,English,Artists who traveled played a pivotal role in documenting and popularizing their visions of the distant places they visited. Their interactions with other artists and the things they experienced on their journeys contributed to the dispersal of different artistic styles and motifs.,Artists who traveled played a key role in recording and sharing their views of faraway places. They met other artists and saw new things on their trips. These experiences helped spread different art styles and ideas.,"Artists who traveled played a central role in documenting and popularizing their visions of the distant places they visited. Their interactions with other artists, as well as the things they experienced during their journeys, helped spread different artistic styles and motifs.","Artists who traveled played a key role in recording and sharing their personal impressions of the far-off places they visited. The exchanges they had with other artists, along with the sights and experiences from their journeys, helped spread different artistic styles and recurring themes across regions."
CT0108,,National Museum of Asian Art,,The United States,Asia,,,,SectionText,"While travel has mostly positive connotations in popular culture today, it’s important to remember the darker sides of travel as well. Not all travel is undertaken by choice: people can be forced to travel as a result of political exile, as well as due to war, famine, disease, economic hardship, environmental disaster, and colonialism. Even when travel is voluntary, it can be dangerous, and this was particularly true in ages past. The physical act of traveling exposed people to potential injuries and diseases, the natural elements were unpredictable and threatened modes of transportation, and there was an inherent unpredictability to being on the road far from home. The recognition of these dangers shaped stories and cultural beliefs.",117,https://asia.si.edu/explore-art-culture/art-stories/themes/the-art-of-travel/,,,,English,"While travel has mostly positive connotations in popular culture today, it’s important to remember the darker sides of travel as well. Not all travel is undertaken by choice: people can be forced to travel as a result of political exile, as well as due to war, famine, disease, economic hardship, environmental disaster, and colonialism. Even when travel is voluntary, it can be dangerous, and this was particularly true in ages past. The physical act of traveling exposed people to potential injuries and diseases, the natural elements were unpredictable and threatened modes of transportation, and there was an inherent unpredictability to being on the road far from home. The recognition of these dangers shaped stories and cultural beliefs.","Today, people often think of travel as a good thing. But travel also has a darker side. Not everyone chooses to travel. People can be forced to leave home because of war, hunger, disease, money problems, natural disasters, or colonialism. Even when travel is a choice, it can be risky. This was especially true in the past. Traveling could lead to injuries or sickness. The weather was unpredictable and could damage ships, carts, or other ways of getting around. Being far from home meant facing many unknowns. These dangers shaped the stories and beliefs people shared.","While travel is often associated with positive ideas in popular culture today, it is also important to consider its darker aspects. Not all travel is voluntary: people may be forced to move due to political exile, war, famine, disease, economic hardship, environmental disaster, or colonialism. Even when travel is chosen freely, it can be dangerous—especially in earlier historical periods. The physical act of traveling exposed people to potential injuries and illnesses. Natural conditions were unpredictable and could threaten modes of transport. There was also an inherent unpredictability in being far from home. The awareness of these dangers shaped stories and cultural beliefs.","While travel is often seen as a positive experience in today's culture, it's also important to recognize its more difficult and troubling aspects. Not all travel is a matter of choice: people may be forced to move due to political exile, war, famine, disease, economic hardship, environmental disaster, or colonialism. Even when travel is voluntary, it can be risky—and this was especially true in earlier times. The journey itself exposed travelers to potential injuries and illnesses, unpredictable weather that could endanger ships or carriages, and the general uncertainty of being far from home. These dangers shaped the stories people told and the beliefs they held."
CT0109,,National Museum of Asian Art,,The United States,Asia,,,,SectionText,"Objects themselves have rich histories and often undertook journeys of their own, whether through trade, gift giving, or collecting. For conservators, the journey of an item is embedded within its material presence; marks, scars, repairs, and other interventions describe the actions of others who have contributed to its present state. The process of conservation involves the synthesis of material evidence and its placement in time, not just to understand an item’s past but to envision its future preservation. Anthropologists have described the trajectories of material items in terms of their lives, biographies, or itineraries, but such notions are intuitively familiar to conservators, whose actions are fundamentally additive to an item’s journey, both materially and through time.",116,https://asia.si.edu/explore-art-culture/art-stories/themes/the-art-of-travel/,,,,English,"Objects themselves have rich histories and often undertook journeys of their own, whether through trade, gift giving, or collecting. For conservators, the journey of an item is embedded within its material presence; marks, scars, repairs, and other interventions describe the actions of others who have contributed to its present state. The process of conservation involves the synthesis of material evidence and its placement in time, not just to understand an item’s past but to envision its future preservation. Anthropologists have described the trajectories of material items in terms of their lives, biographies, or itineraries, but such notions are intuitively familiar to conservators, whose actions are fundamentally additive to an item’s journey, both materially and through time.","Objects have their own rich histories. They often traveled from place to place through trade, gifts, or collecting. For conservators—people who care for and repair objects—an item’s journey is written into its materials. Marks, scars, repairs, and other changes show what others have done to it over time.

Conservation means putting together clues from the object’s materials and figuring out when things happened. This helps conservators understand the object’s past and plan how to keep it safe in the future. Anthropologists describe these journeys as an object’s life or biography. But for conservators, this idea feels natural. Their work always adds something new to an object’s story, both in its materials and across time.","Objects themselves have rich histories and often undertook journeys of their own, whether through trade, gift giving, or collecting. For conservators, the journey of an item is embedded within its material presence; marks, scars, repairs, and other interventions describe the actions of others who have contributed to its present state. The process of conservation involves the synthesis of material evidence and its placement in time, not just to understand an item’s past but to envision its future preservation. Anthropologists have described the trajectories of material items in terms of their lives, biographies, or itineraries, but such notions are intuitively familiar to conservators, whose actions are fundamentally additive to an item’s journey, both materially and through time.","Objects themselves have rich histories and often traveled from place to place—through trade, as gifts, or by being collected. For conservators (the professionals who care for and preserve objects), an item’s journey is recorded in its physical condition: marks, scratches, repairs, and other signs of human handling tell the story of everyone who has shaped what it looks like today. The work of conservation involves piecing together these physical clues and figuring out where they fit in time, not only to understand an object’s past but also to plan how to keep it safe in the future. Anthropologists have described the paths that objects take in terms of their lives, biographies, or journeys, but these ideas feel naturally familiar to conservators, whose actions always add a new chapter to an object’s story—both in its material form and across time."
CT0110,,National Museum of Asian Art,,The United States,Asia,,,,SectionText,"Individual travelers carried things with them that were essential for the journey itself. Clothing and equipment suitable to traversing long distances sometimes set them apart from local residents, and travelers carried personal effects and accessories, such as small books, drinking flasks, and protective amulets, to make the journey easier.",49,https://asia.si.edu/explore-art-culture/art-stories/themes/the-art-of-travel/,,,,English,"Individual travelers carried things with them that were essential for the journey itself. Clothing and equipment suitable to traversing long distances sometimes set them apart from local residents, and travelers carried personal effects and accessories, such as small books, drinking flasks, and protective amulets, to make the journey easier.","Travelers brought along items they needed for the trip. Their clothes and gear for long journeys sometimes made them look different from local people. They also carried personal things like small books, drinking flasks, and protective charms to make traveling easier.","Individual travelers brought items necessary for the journey itself. Clothing and equipment suited to covering long distances sometimes distinguished them from local inhabitants. Travelers also carried personal belongings and accessories—such as small books, drinking flasks, and protective amulets—to make the journey easier.","Individual travelers brought along items that were necessary for the journey itself. The clothing and gear suited to covering long distances sometimes made them stand out from local people, and they carried personal belongings and small accessories—such as pocket-sized books, drinking flasks, and protective charms—to make the trip more manageable."
CT0111,,National Museum of Asian Art,,The United States,Asia,,,,SectionText,"Travelers brought objects acquired on their journeys home with them as well. Holy objects acquired by pilgrims allowed them to bring the blessings of their pilgrimage back from their destination. Images made during travel—whether sketches, paintings, or photographs—captured the experience of the journey for future reflection. Souvenirs purchased during a trip also offered travelers a way of commemorating a journey and gave them something tangible on which to reflect. The advent of commercial global travel networks in many cultures and contexts was accompanied by a flood of photographs, drawings, postcards, mementos, and other means of recording scientific and sentimental experiences abroad. Perhaps the most recognizable artifact of travel over the past 150 years is the picture postcard. These were collected as mementos or mailed to family and friends from abroad, accruing the additional prestige of a foreign stamp and postmark.",142,https://asia.si.edu/explore-art-culture/art-stories/themes/the-art-of-travel/,,,,English,"Travelers brought objects acquired on their journeys home with them as well. Holy objects acquired by pilgrims allowed them to bring the blessings of their pilgrimage back from their destination. Images made during travel—whether sketches, paintings, or photographs—captured the experience of the journey for future reflection. Souvenirs purchased during a trip also offered travelers a way of commemorating a journey and gave them something tangible on which to reflect. The advent of commercial global travel networks in many cultures and contexts was accompanied by a flood of photographs, drawings, postcards, mementos, and other means of recording scientific and sentimental experiences abroad. Perhaps the most recognizable artifact of travel over the past 150 years is the picture postcard. These were collected as mementos or mailed to family and friends from abroad, accruing the additional prestige of a foreign stamp and postmark.","Travelers also brought home objects they found on their journeys. Pilgrims collected holy items to carry the blessings of their trip back with them. Images made during travel—like sketches, paintings, or photos—captured the experience for later reflection. Souvenirs bought on a trip helped travelers remember their journey and gave them something real to look back on.

As global travel networks grew, people created floods of photos, drawings, postcards, mementos, and other ways to record their experiences abroad. Over the last 150 years, the picture postcard has become one of the most familiar travel items. People collected them as keepsakes or mailed them to family and friends. A foreign stamp and postmark added extra prestige to these cards.","Travelers also brought home objects they had acquired during their journeys. Holy objects obtained by pilgrims allowed them to carry the blessings of their pilgrimage back from the destination. Images made during travel—whether sketches, paintings, or photographs—captured the experience of the journey for later reflection. Souvenirs purchased during a trip gave travelers a way to commemorate the journey and provided them with something tangible to reflect upon.

The emergence of commercial global travel networks in many cultures and contexts was accompanied by a flood of photographs, drawings, postcards, mementos, and other means of recording scientific and sentimental experiences abroad. Perhaps the most recognizable artifact of travel over the past 150 years is the picture postcard. These were collected as mementos or mailed to family and friends from abroad, gaining the additional prestige of a foreign stamp and postmark.","Travelers also brought back objects they had collected during their journeys. Pilgrims, for example, acquired sacred items that allowed them to carry the spiritual benefits of their pilgrimage home from the destination. Images created while traveling—whether quick sketches, paintings, or photographs—captured the experience of the journey, allowing travelers to reflect on it later. Souvenirs purchased along the way gave travelers a physical reminder of their trip, something tangible to help them remember. As commercial global travel networks expanded across many cultures and time periods, there was a surge in photographs, drawings, postcards, keepsakes, and other ways of recording both scientific observations and personal experiences abroad. Perhaps the most familiar travel keepsake from the last 150 years is the picture postcard. People collected these as mementos or mailed them to family and friends overseas, where they gained extra appeal from the foreign stamp and postmark."
CT0112,,National Museum of Asian Art,,The United States,Asia,,,,SectionText,"Most travel we think of involves physically moving between places, but virtual travel (colloquially, “armchair travel”) that takes place in the mind spans time and cultures and is facilitated by books and works of art. Through focused contemplation of a travel account, a map, a cherished souvenir, or images of far-off places, memory and imagination combine to transport someone mentally and to simulate the experience of travel.",67,https://asia.si.edu/explore-art-culture/art-stories/themes/the-art-of-travel/,,,,English,"Most travel we think of involves physically moving between places, but virtual travel (colloquially, “armchair travel”) that takes place in the mind spans time and cultures and is facilitated by books and works of art. Through focused contemplation of a travel account, a map, a cherished souvenir, or images of far-off places, memory and imagination combine to transport someone mentally and to simulate the experience of travel.","Most travel means moving your body from one place to another. But there is another kind of travel: virtual travel, sometimes called ""armchair travel."" This kind of travel happens in your mind. It can take you across time and to different cultures. Books and works of art help make this possible. When you look closely at a travel story, a map, a special souvenir, or pictures of faraway places, your memory and imagination work together. They can carry you away in your thoughts and make you feel like you have really traveled.","Most travel involves physically moving from one place to another. However, virtual travel—often called ""armchair travel""—takes place in the mind. It spans different times and cultures. Books and works of art make this kind of travel possible. When someone focuses deeply on a travel account, a map, a treasured souvenir, or images of distant places, memory and imagination work together. This combination can mentally transport the person and create a simulated experience of travel.","Most of us think of travel as physically moving from one place to another. But there is another kind of travel—what people sometimes call ""armchair travel""—that happens entirely in the mind. This mental journey can move across time and between cultures, and it is made possible by books and works of art. When we look closely at a travel story, a map, a treasured souvenir, or pictures of distant places, our memory and imagination work together to carry us somewhere else, creating a feeling very much like the experience of real travel."
CT0113,,National Museum of Asian Art,,The United States,Asia,,,,SectionText,"While it may not be the first thing we think of when looking at a work of art, environmental factors have shaped everything about it, from how it was made, to how it has been perceived and appreciated, to how it has been preserved for today’s audiences. Dive into the complex and interconnected relationships between art and the environment—from images of the natural world to recycling ancient jades—to see our collections in a whole new way.",76,https://asia.si.edu/explore-art-culture/art-stories/themes/art-and-environment/,,,,English,"While it may not be the first thing we think of when looking at a work of art, environmental factors have shaped everything about it, from how it was made, to how it has been perceived and appreciated, to how it has been preserved for today’s audiences. Dive into the complex and interconnected relationships between art and the environment—from images of the natural world to recycling ancient jades—to see our collections in a whole new way.","When you look at a work of art, you might not think about the environment first. But the environment has shaped almost everything about it. It affected how the art was made, how people saw and valued it, and how it was saved for us to see today. Explore the deep connections between art and the world around us. You'll see images of nature and even ancient jades that were reused. This will help you look at our collection in a whole new way.","Although it may not be the first thing we consider when looking at a work of art, environmental factors have shaped nearly every aspect of it. These factors influence how the work was made, how it has been seen and valued, and how it has been preserved for contemporary audiences. Explore the complex and interconnected relationships between art and the environment—from depictions of the natural world to the reuse of ancient jades—and discover a new perspective on our collections.","When we look at a work of art, we might not immediately think about the environment around it. Yet environmental factors have influenced nearly every aspect of that artwork—how it was created, how people have understood and valued it over time, and how it has been cared for so that we can see it today. This exhibition explores the many ways art and the environment are connected. You’ll encounter everything from depictions of the natural world to the practice of reusing ancient jade objects. Together, these works invite you to see our collections from a fresh perspective."
CT0114,,National Museum of Asian Art,,The United States,Asia,,,,SectionText," While environmental conditions differ from place to place, contact with nature has been a universal human experience. It’s therefore not surprising that natural motifs—plants, animals, water, the sky—adorn works of art across all cultures and are a consistent source of inspiration and meaning.",43,https://asia.si.edu/explore-art-culture/art-stories/themes/art-and-environment/,,,,English," While environmental conditions differ from place to place, contact with nature has been a universal human experience. It’s therefore not surprising that natural motifs—plants, animals, water, the sky—adorn works of art across all cultures and are a consistent source of inspiration and meaning.","Everywhere on Earth, people experience nature. So it makes sense that artists from all cultures use plants, animals, water, and the sky in their work. These natural images inspire artists and give their art deeper meaning.","While environmental conditions vary from one place to another, contact with nature is a universal human experience. It is therefore not surprising that natural motifs—such as plants, animals, water, and the sky—appear in works of art across all cultures. These motifs are a consistent source of inspiration and meaning.","While the natural environment varies from one place to another, connecting with nature is something all people have in common. So it makes sense that images of plants, animals, water, and the sky appear in artworks from every culture—they have always been a steady source of creative ideas and deeper meaning."
CT0115,,National Museum of Asian Art,,The United States,Asia,,,,SectionText,"Depictions of landscapes can serve as valuable documentation of specific places, but they can also evoke strong emotions. Images of the natural world can remind us of the beauty and power of nature, evoking feelings of tranquility, wonder, awe, and contemplation.",41,https://asia.si.edu/explore-art-culture/art-stories/themes/art-and-environment/,,,,English,"Depictions of landscapes can serve as valuable documentation of specific places, but they can also evoke strong emotions. Images of the natural world can remind us of the beauty and power of nature, evoking feelings of tranquility, wonder, awe, and contemplation.","Landscape paintings can show us what a place really looks like. They can also make us feel strong emotions. Pictures of nature can remind us of its beauty and power. These images might make us feel calm, amazed, or thoughtful.","Depictions of landscapes can function as important records of specific places. At the same time, they can also provoke intense emotions. Images of the natural world can remind us of nature’s beauty and force. They may bring about feelings of calm, wonder, awe, and deep thought.","Depictions of landscapes can do more than simply record what a particular place looks like. They can also stir powerful emotions. Images of the natural world have the ability to remind us of nature’s beauty and force, prompting feelings of calm, curiosity, amazement, and quiet reflection."
CT0116,,National Museum of Asian Art,,The United States,Asia,,,,ExhibitionText,"From the earliest Japanese poetry anthology, compiled in the eighth century, to the present day, the beauty of the Japanese landscape has been celebrated in literature and art. At first, landscapes were not an independent subject but were incorporated into the backgrounds of Buddhist paintings, seasonal subjects (shikinami-e), and paintings of famous scenic or sacred sites (meisho-e). Beginning around the thirteenth century, possibly through the influence of the introduction of new modes of ink painting from China and Korea, landscape became an independent subject in Japanese painting. Landscapes of Japan were most often, but not exclusively, painted in the full color mode, which effectively expressed the seasonal changes that are inextricably linked with natural imagery in Japanese poetry and art. Ink painting was usually chosen for varied and dramatic landscapes of China, which most Japanese artists understood through their study of imported paintings, and later, of painting manuals as well. Whether rendered in rich, deep colors or in subtle tones of ink, landscapes by Japanese artists are imbued with a sense of intimate understanding and appreciation of the transient beauty and spiritual significance of the natural world.",187,https://asia.si.edu/explore-art-culture/art-stories/themes/art-and-environment/,,,,English,"From the earliest Japanese poetry anthology, compiled in the eighth century, to the present day, the beauty of the Japanese landscape has been celebrated in literature and art. At first, landscapes were not an independent subject but were incorporated into the backgrounds of Buddhist paintings, seasonal subjects (shikinami-e), and paintings of famous scenic or sacred sites (meisho-e). Beginning around the thirteenth century, possibly through the influence of the introduction of new modes of ink painting from China and Korea, landscape became an independent subject in Japanese painting. Landscapes of Japan were most often, but not exclusively, painted in the full color mode, which effectively expressed the seasonal changes that are inextricably linked with natural imagery in Japanese poetry and art. Ink painting was usually chosen for varied and dramatic landscapes of China, which most Japanese artists understood through their study of imported paintings, and later, of painting manuals as well. Whether rendered in rich, deep colors or in subtle tones of ink, landscapes by Japanese artists are imbued with a sense of intimate understanding and appreciation of the transient beauty and spiritual significance of the natural world.","From the earliest Japanese poetry book, made in the 700s, to today, people have celebrated the beauty of Japan’s landscapes in both writing and art. At first, landscapes were not a main subject. Instead, they appeared in the backgrounds of Buddhist paintings, in scenes of the four seasons (called *shikinami-e*), and in paintings of famous or sacred places (called *meisho-e*). Around the 1200s, landscape became its own subject in Japanese painting. This change may have happened because new ink painting styles came to Japan from China and Korea. Japanese landscapes were usually painted in full color. This style showed the changing seasons, which are closely tied to nature in Japanese poetry and art. Ink painting was often used for dramatic Chinese landscapes. Most Japanese artists learned about these landscapes from imported paintings and later from painting manuals. Whether made with rich colors or soft black ink, Japanese landscape paintings show a deep understanding and love for nature’s brief beauty and spiritual meaning.","From the earliest Japanese poetry anthology, compiled in the eighth century, to the present day, the beauty of the Japanese landscape has been celebrated in literature and art. At first, landscapes were not an independent subject. Instead, they appeared in the backgrounds of Buddhist paintings, seasonal subjects (shikinami-e), and paintings of famous scenic or sacred sites (meisho-e). Around the thirteenth century, landscape became an independent subject in Japanese painting. This may have been influenced by the introduction of new ink painting techniques from China and Korea. Landscapes of Japan were most often, but not exclusively, painted in full color mode. This mode effectively expressed the seasonal changes that are deeply connected to natural imagery in Japanese poetry and art. Ink painting was usually chosen for varied and dramatic landscapes of China. Most Japanese artists understood these landscapes through their study of imported paintings, and later, through painting manuals as well. Whether rendered in rich, deep colors or in subtle tones of ink, landscapes by Japanese artists show a sense of intimate understanding and appreciation. They capture the transient beauty and spiritual significance of the natural world.","From the earliest collection of Japanese poetry, compiled in the eighth century, to the present day, the beauty of Japan's landscapes has been celebrated in both literature and art. At first, landscapes were not treated as a subject on their own. Instead, they appeared as backgrounds in Buddhist paintings, in works that depicted the changing seasons, and in paintings of famous scenic or sacred places. Starting around the thirteenth century—possibly influenced by new ink-painting techniques introduced from China and Korea—landscape became an independent theme in Japanese painting.

Paintings of Japanese landscapes were most often done in full color, a style that effectively captured the seasonal changes that are deeply tied to nature imagery in Japanese poetry and art. In contrast, ink painting was usually chosen for dramatic and varied landscapes of China, which most Japanese artists knew through studying imported paintings and, later, painting manuals. Whether rendered in rich, deep colors or in subtle shades of ink, Japanese landscape paintings convey a sense of intimate understanding and appreciation for the fleeting beauty and spiritual meaning of the natural world."
CT0117,,National Museum of Asian Art,,The United States,Asia,,,,SectionText,"Travel to misty mountain valleys and foggy ocean beaches through the eyes of great Japanese artists from the sixteenth century on, accompanied by the sounds of the shakuhachi (bamboo flute), in this exploration of nature as an inspiration for Japanese art and music, guided by the virtuoso Kurahashi Yodo II and curator Frank Feltens.",54,https://asia.si.edu/explore-art-culture/art-stories/themes/art-and-environment/,,,,English,"Travel to misty mountain valleys and foggy ocean beaches through the eyes of great Japanese artists from the sixteenth century on, accompanied by the sounds of the shakuhachi (bamboo flute), in this exploration of nature as an inspiration for Japanese art and music, guided by the virtuoso Kurahashi Yodo II and curator Frank Feltens.","Explore nature as an inspiration for Japanese art and music. Travel through misty mountain valleys and foggy ocean beaches. See them through the eyes of great Japanese artists from the 1500s onward. Listen to the sounds of the shakuhachi, a bamboo flute. Your guides are the master musician Kurahashi Yodo II and curator Frank Feltens.",Travel through misty mountain valleys and foggy ocean beaches as seen by great Japanese artists from the sixteenth century onward. You will be accompanied by the sounds of the shakuhachi (bamboo flute). This exploration looks at nature as a source of inspiration for Japanese art and music. It is guided by the virtuoso Kurahashi Yodo II and curator Frank Feltens.,"Journey through misty mountain valleys and foggy ocean beaches as seen through the eyes of great Japanese artists from the sixteenth century onward. Along the way, you’ll hear the sounds of the shakuhachi, a traditional bamboo flute. This experience explores how nature has inspired Japanese art and music, guided by the master musician Kurahashi Yodo II and curator Frank Feltens."
CT0118,,National Museum of Asian Art,,The United States,Asia,,,,ExhibitionText,"For Chinese scholar-officials, viewing landscape paintings not only provided aesthetic delight, but a landscape setting was often vested with meaning, which could range from providing a clue about the season of the painting to conveying more complex meanings. Seeing an image of figures in a remote landscape often referred to the key cultural and political concept of eremitism. The literati, or scholar class, believed in the Confucian notion that government service was a high moral duty. However, if the emperor was corrupt, or if a scholar was faced with serving a dynasty founded by usurping foreign rulers then, following the tradition of eremitism, a true gentleman refused government office. Instead, he became a mountain recluse, or at least assumed the demeanor of a hermit or rustic fisherman, to protest the corruption of moral order. Vested with meaning as a symbol of ethical reclusion, landscape motifs had poignant significance.",148,https://asia.si.edu/explore-art-culture/art-stories/themes/art-and-environment/,,,,English,"For Chinese scholar-officials, viewing landscape paintings not only provided aesthetic delight, but a landscape setting was often vested with meaning, which could range from providing a clue about the season of the painting to conveying more complex meanings. Seeing an image of figures in a remote landscape often referred to the key cultural and political concept of eremitism. The literati, or scholar class, believed in the Confucian notion that government service was a high moral duty. However, if the emperor was corrupt, or if a scholar was faced with serving a dynasty founded by usurping foreign rulers then, following the tradition of eremitism, a true gentleman refused government office. Instead, he became a mountain recluse, or at least assumed the demeanor of a hermit or rustic fisherman, to protest the corruption of moral order. Vested with meaning as a symbol of ethical reclusion, landscape motifs had poignant significance.","For Chinese scholar-officials, looking at landscape paintings was more than just a beautiful experience. The setting of a landscape often carried a deeper meaning. It could hint at the season of the painting or express more complex ideas.

For example, seeing people in a faraway landscape often pointed to a key cultural and political idea called **eremitism** (AIR-uh-mit-iz-um). This is the practice of withdrawing from society as a form of protest.

The scholar class, known as the **literati** (lit-er-AH-tee), believed in a Confucian idea: serving the government was a high moral duty. But if the emperor was corrupt, or if a scholar had to serve a dynasty started by foreign rulers who took power unfairly, then a true gentleman would refuse to work for the government. Following the tradition of eremitism, he would instead become a mountain recluse. Or at least, he would act like a hermit or a simple fisherman. This was his way of protesting the breakdown of moral order.

Because of this, landscape motifs—like mountains, rivers, or fishermen—were filled with meaning. They stood for ethical reclusion, or the choice to live apart from society for moral reasons. These images had a deep, emotional significance.","For Chinese scholar-officials, viewing landscape paintings was not only a source of aesthetic pleasure. A landscape setting was often vested with meaning. This meaning could range from a clue about the season of the painting to more complex interpretations. For example, an image of figures in a remote landscape often referred to the key cultural and political concept of eremitism.

The literati, or scholar class, believed in the Confucian idea that government service was a high moral duty. However, if the emperor was corrupt, or if a scholar had to serve a dynasty founded by usurping foreign rulers, then—following the tradition of eremitism—a true gentleman refused government office. Instead, he became a mountain recluse, or at least adopted the demeanor of a hermit or rustic fisherman. This was a way to protest the corruption of moral order.

Vested with meaning as a symbol of ethical reclusion, landscape motifs carried poignant significance.","For Chinese scholar-officials, viewing landscape paintings was more than just a visual pleasure—it was a way to read deeper meanings. The setting of a landscape could hint at something as simple as the season, or it could carry much more complex ideas. For example, when a painting showed people in a remote, mountainous area, it often referred to a key cultural and political idea called eremitism. This term describes the practice of withdrawing from society as a form of moral protest.

The scholar class, known as the literati, believed in the Confucian principle that serving the government was a high moral duty. However, if the emperor was corrupt, or if a scholar was expected to serve a dynasty founded by foreign invaders who had seized power, then a true gentleman would refuse to hold office. Following the tradition of eremitism, he would instead become a mountain recluse—or at least adopt the appearance of a hermit or a simple fisherman—to protest the breakdown of moral order. Because of this, landscape motifs were filled with emotional weight, symbolizing a principled retreat from an unjust world."
CT0119,,National Museum of Asian Art,,The United States,Asia,,,,SectionText,Careful observation of nature did not only translate to depictions of real places. Artists used their knowledge of the natural world to create imagined landscapes as well.,27,https://asia.si.edu/explore-art-culture/art-stories/themes/art-and-environment/,,,,English,Careful observation of nature did not only translate to depictions of real places. Artists used their knowledge of the natural world to create imagined landscapes as well.,Artists didn't just paint real places from nature. They also used what they knew about the natural world to create imaginary landscapes.,Careful observation of nature did not only result in depictions of real places. Artists also used their knowledge of the natural world to create imagined landscapes.,"Careful observation of the natural world didn't just lead artists to paint real, recognizable locations. They also used their understanding of nature to invent entirely imaginary landscapes."
